iata,name,state,country,latitude,longitude,lineage,zipcoderegion
19.7136-155.098,Destination-Hilo-HI,HI,USA,19.7136,-155.098,0,96
20.8666-156.647,Destination-Kahului-HI,HI,USA,20.8666,-156.647,0,96
20.884-156.466,Destination-Kahului-HI,HI,USA,20.884,-156.466,0,96
20.9133-156.658,Destination-Lahaina-HI,HI,USA,20.9133,-156.658,0,96
21.2782-157.822,Destination-Honolulu-HI,HI,USA,21.2782,-157.822,0,96
21.284-157.799,Destination-Honolulu-HI,HI,USA,21.284,-157.799,0,96
21.2946-157.697,Destination-Honolulu-HI,HI,USA,21.2946,-157.697,0,96
21.3307-157.859,Destination-Honolulu-HI,HI,USA,21.3307,-157.859,0,96
21.3452-157.882,Destination-Honolulu-HI,HI,USA,21.3452,-157.882,0,96
21.3455-158.086,Destination-Kapolei-HI,HI,USA,21.3455,-158.086,0,96
21.3892-157.931,Destination-Aiea-HI,HI,USA,21.3892,-157.931,0,96
21.4035-158.014,Destination-Waipahu-HI,HI,USA,21.4035,-158.014,0,96
21.9808-159.377,Destination-Lihue-HI,HI,USA,21.9808,-159.377,0,96
24.6631-81.4869,Destination-Summerland Key-FL,FL,USA,24.6631,-81.4869,0,33
24.9183-80.6368,Destination-Islamorada-FL,FL,USA,24.9183,-80.6368,0,33
25.488-80.4269,Destination-Homestead-FL,FL,USA,25.488,-80.4269,0,33
25.5584-80.4582,Destination-Homestead-FL,FL,USA,25.5584,-80.4582,0,33
25.596-80.4023,Destination-Miami-FL,FL,USA,25.596,-80.4023,0,33
25.6534-80.36,Destination-Miami-FL,FL,USA,25.6534,-80.36,0,33
25.6623-80.4095,Destination-Miami-FL,FL,USA,25.6623,-80.4095,0,33
25.6656-80.3069,Destination-Miami-FL,FL,USA,25.6656,-80.3069,0,33
25.7-80.4081,Destination-Miami-FL,FL,USA,25.7,-80.4081,0,33
25.7029-80.2964,Destination-Miami-FL,FL,USA,25.7029,-80.2964,0,33
25.7232-80.4399,Destination-Miami-FL,FL,USA,25.7232,-80.4399,0,33
25.7348-80.3583,Destination-Miami-FL,FL,USA,25.7348,-80.3583,0,33
25.7539-80.2703,Destination-Miami-FL,FL,USA,25.7539,-80.2703,0,33
25.7623-80.3084,Destination-Miami-FL,FL,USA,25.7623,-80.3084,0,33
25.763-80.3592,Destination-Miami-FL,FL,USA,25.763,-80.3592,0,33
25.7674-80.1893,Destination-Miami-FL,FL,USA,25.7674,-80.1893,0,33
25.7683-80.2034,Destination-Miami-FL,FL,USA,25.7683,-80.2034,0,33
25.7771-80.2022,Destination-Miami-FL,FL,USA,25.7771,-80.2022,0,33
25.778-80.2972,Destination-Miami-FL,FL,USA,25.778,-80.2972,0,33
25.7843-80.1413,Destination-Miami Beach-FL,FL,USA,25.7843,-80.1413,0,33
25.7843-80.1875,Destination-Miami-FL,FL,USA,25.7843,-80.1875,0,33
25.7866-80.3615,Destination-Miami-FL,FL,USA,25.7866,-80.3615,0,33
25.7955-80.3129,Destination-Miami-FL,FL,USA,25.7955,-80.3129,0,33
25.8-80.3177,Destination-Miami-FL,FL,USA,25.8,-80.3177,0,33
25.8126-80.2369,Destination-Miami-FL,FL,USA,25.8126,-80.2369,0,33
25.8138-80.2058,Destination-Miami-FL,FL,USA,25.8138,-80.2058,0,33
25.8142-80.1309,Destination-Miami Beach-FL,FL,USA,25.8142,-80.1309,0,33
25.8247-80.3048,Destination-Miami-FL,FL,USA,25.8247,-80.3048,0,33
25.8324-80.2787,Destination-Hialeah-FL,FL,USA,25.8324,-80.2787,0,33
25.8377-80.3695,Destination-Miami-FL,FL,USA,25.8377,-80.3695,0,33
25.8501-80.2377,Destination-Miami-FL,FL,USA,25.8501,-80.2377,0,33
25.852-80.2057,Destination-Miami-FL,FL,USA,25.852,-80.2057,0,33
25.8532-80.1862,Destination-Miami-FL,FL,USA,25.8532,-80.1862,0,33
25.8857-80.2326,Destination-Miami-FL,FL,USA,25.8857,-80.2326,0,33
25.888-80.3328,Destination-Hialeah-FL,FL,USA,25.888,-80.3328,0,33
25.8934-80.1816,Destination-Miami-FL,FL,USA,25.8934,-80.1816,0,33
25.8974-80.1605,Destination-Miami-FL,FL,USA,25.8974,-80.1605,0,33
25.9022-80.3073,Destination-Hialeah-FL,FL,USA,25.9022,-80.3073,0,33
25.909-80.2495,Destination-Opa Locka-FL,FL,USA,25.909,-80.2495,0,33
25.9188-97.4274,Destination-Brownsville-TX,TX,USA,25.9188,-97.4274,0,78
25.9283-97.5162,Destination-Brownsville-TX,TX,USA,25.9283,-97.5162,0,78
25.9296-80.1784,Destination-Miami-FL,FL,USA,25.9296,-80.1784,0,33
25.9415-80.1386,Destination-North Miami Beach-FL,FL,USA,25.9415,-80.1386,0,33
