iata,name,state,country,latitude,longitude,lineage
Z30080,Origin-Smyrna-GA,GA,USA,33.8758,-84.5038,0
Z30082,Origin-Smyrna-GA,GA,USA,33.8592,-84.5374,0
Z30083,Origin-Stone Mountain-GA,GA,USA,33.7957,-84.1976,0
Z30084,Origin-Tucker-GA,GA,USA,33.8539,-84.2203,0
Z30093,Origin-Norcross-GA,GA,USA,33.91,-84.1793,0
Z30096,Origin-Duluth-GA,GA,USA,33.9795,-84.1511,0
Z30102,Origin-Acworth-GA,GA,USA,34.098,-84.6182,0
Z30106,Origin-Austell-GA,GA,USA,33.8282,-84.6259,0
Z30110,Origin-Bremen-GA,GA,USA,33.724,-85.1428,0
Z30122,Origin-Lithia Springs-GA,GA,USA,33.7762,-84.6448,0
Z30152,Origin-Kennesaw-GA,GA,USA,34.0022,-84.6339,0
Z30153,Origin-Rockmart-GA,GA,USA,33.9875,-85.055,0
Z30161,Origin-Rome-GA,GA,USA,34.2534,-85.1531,0
Z30168,Origin-Austell-GA,GA,USA,33.7975,-84.6061,0
Z30180,Origin-Villa Rica-GA,GA,USA,33.7181,-84.9235,0
